test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_core-auto-long-one,average,40.88,30.47,31.71,48.38,52.96
adapted_12b_core-auto-long-one-rci,average,41.18,30.66,31.88,48.56,53.61
adapted_12b_core-auto-long-three,average,41.84,31.05,33.31,50.55,52.47
adapted_12b_core-auto-long-three-rci,average,42.14,31.27,33.61,50.61,53.08
adapted_12b_core-auto-short-one,average,36.17,23.16,28.01,43.19,50.33
adapted_12b_core-auto-short-one-rci,average,36.36,23.25,28.07,43.55,50.59
adapted_12b_core-auto-short-three,average,38.07,26.36,29.45,45.55,50.91
adapted_12b_core-auto-short-three-rci,average,38.06,26.41,29.52,45.34,51.00
adapted_12b_core-xl-long-one,average,35.72,23.49,26.13,43.39,49.86
adapted_12b_core-xl-long-one-rci,average,35.67,23.70,26.18,43.27,49.52
adapted_12b_core-xl-long-three,average,35.53,21.88,26.04,43.87,50.31
adapted_12b_core-xl-long-three-rci,average,35.74,22.24,26.04,43.82,50.86
adapted_12b_core-xl-short-one,average,30.94,19.51,22.62,38.49,43.13
adapted_12b_core-xl-short-one-rci,average,31.12,19.56,22.66,38.62,43.64
adapted_12b_core-xl-short-three,average,30.45,18.07,23.00,39.16,41.57
adapted_12b_core-xl-short-three-rci,average,30.75,18.17,22.98,39.71,42.12
adapted_12b_core-long-zero,average,35.74,21.32,26.45,43.98,51.22
adapted_12b_core-long-zero-rci,average,36.22,21.62,27.07,44.28,51.90
adapted_12b_core-short-zero,average,27.73,18.13,22.87,35.92,34.02
adapted_12b_core-short-zero-rci,average,27.90,18.07,22.97,36.07,34.47
